# time(s) volume
67.1057 0.2882
67.3146 0.3040
67.5236 0.2547
67.7326 0.2639
67.9416 0.2483
68.1506 0.2514
68.3595 0.2596
68.5685 0.3038
68.7775 0.2581
68.9865 0.2551
69.1955 0.2573
69.4044 0.1534
69.6134 0.2784
69.8224 0.2812
70.0314 0.2789
70.2404 0.2673
70.4493 0.2616
70.6583 0.2441
70.8673 0.1991
71.0995 0.1943
71.3085 0.2216
71.5175 0.3249
71.7264 0.2746
71.9354 0.2680
72.1444 0.2567
72.3534 0.2674
72.5624 0.2702
72.7946 0.2259
73.0035 0.2498
73.2125 0.2479
73.4215 0.2382
73.6305 0.1974
73.8395 0.2158
74.0484 0.2809
74.2574 0.2068
74.4664 0.3198
74.6754 0.2655
74.8844 0.2780
75.0933 0.2551
75.3023 0.3052
75.5113 0.2411
75.7203 0.2404
75.9293 0.2540
76.1382 0.2661
76.3472 0.2414
76.5562 0.2550
76.7652 0.3019
76.9741 0.2633
77.1831 0.2348
77.3921 0.2322
77.6011 0.2618
77.8101 0.1884
78.0190 0.2985
78.2280 0.2576
78.4370 0.2140
78.6460 0.2489
78.8782 0.2049
79.0872 0.2644
79.2961 0.3027
79.5051 0.2181
79.7141 0.2930
79.9231 0.2051
80.1321 0.2635
80.3410 0.2544
80.5500 0.2356
80.7590 0.2218
80.9680 0.2896
81.2002 0.2653
81.4092 0.2243
81.6181 0.2532
81.8271 0.2629
82.0361 0.2516
82.2451 0.2366
82.4541 0.2583
82.6630 0.2604
82.8720 0.2505
83.0810 0.2678
83.2900 0.2327
83.4990 0.2575
83.7079 0.2087
83.9169 0.2434
84.1259 0.3505
84.3349 0.2213
84.5439 0.2185
84.7528 0.2168
84.9618 0.2642
85.1708 0.2593
85.3798 0.2388
85.5888 0.2933
85.7977 0.2740
86.0067 0.2618
86.2157 0.2085
86.4247 0.1930
86.6337 0.1296
86.8426 0.1515
87.0516 0.1641
87.2606 0.1370
87.4696 0.1832
87.6785 0.1594
87.8875 0.1477
88.0965 0.1351
