# time(s) volume
127.2454 0.1906
127.6401 0.2324
128.0348 0.2163
128.4063 0.2830
128.8011 0.2043
129.1958 0.2733
129.5906 0.1896
129.9853 0.1552
130.3800 0.2454
130.7748 0.2620
131.1695 0.0541
131.5643 0.1970
131.9822 0.2612
132.3770 0.2787
132.7717 0.0431
133.1664 0.1907
133.5612 0.0557
133.9559 0.2726
134.3507 0.0472
134.7454 0.2134
135.1401 0.2524
135.5349 0.2551
135.9296 0.0412
136.3244 0.3125
136.7191 0.1649
137.1138 0.3140
137.5086 0.1616
137.9033 0.2059
138.2980 0.2840
138.6928 0.2885
139.0875 0.1073
139.4823 0.2655
139.8770 0.2175
140.2717 0.2779
140.6665 0.1374
141.0612 0.2293
141.4792 0.2851
141.8739 0.2930
142.2687 0.1382
142.6634 0.2359
143.0581 0.2638
143.4529 0.3369
143.8476 0.1722
144.2424 0.2118
144.6371 0.2846
145.0318 0.2959
145.4266 0.1852
145.8213 0.2150
146.2161 0.2563
146.6108 0.2957
147.0055 0.1883
147.4003 0.2326
147.7950 0.2908
148.1898 0.2895
148.5845 0.1609
148.9792 0.2066
149.3740 0.2378
149.7687 0.2886
150.1634 0.2147
150.5582 0.2383
150.9529 0.2681
151.3477 0.2927
151.7424 0.2233
152.1371 0.2242
152.5319 0.2511
152.9266 0.3207
153.3214 0.2142
153.7161 0.2238
154.1108 0.3113
154.5056 0.2710
154.9003 0.0850
155.2951 0.1890
155.6898 0.2497
156.0845 0.3287
156.4793 0.2305
156.8740 0.1816
157.2688 0.3157
157.6635 0.3093
158.0815 0.2345
158.4762 0.2473
158.8709 0.2251
159.2657 0.2700
159.6604 0.1758
160.0551 0.2385
160.4499 0.2763
160.8446 0.2891
161.2394 0.2059
161.6341 0.2445
162.0288 0.2505
162.4236 0.3206
162.8183 0.2412
163.2131 0.2529
163.6078 0.3080
164.0025 0.3184
164.3973 0.2492
164.7920 0.2781
165.1868 0.2325
165.5815 0.2957
165.9762 0.2291
166.3710 0.2206
166.7657 0.2773
167.1605 0.2525
167.5552 0.1812
167.9499 0.2205
168.3447 0.2353
168.7394 0.3024
169.1341 0.2265
169.5289 0.2397
169.9236 0.2582
170.3184 0.2858
170.7131 0.1341
171.1078 0.2732
171.5026 0.2016
171.8973 0.2663
172.2921 0.1698
172.6868 0.2243
173.0815 0.2304
173.4763 0.2878
173.8710 0.1369
174.2658 0.2350
174.6837 0.1611
175.0785 0.2824
175.4732 0.1963
175.8679 0.2443
176.2627 0.1830
176.6574 0.2581
177.0522 0.2331
177.4469 0.2278
177.8416 0.2373
178.2132 0.3117
178.6079 0.2542
179.0026 0.2956
179.3974 0.2682
179.7921 0.3145
180.2101 0.2873
180.6048 0.2797
180.9995 0.2614
181.3943 0.3239
181.7890 0.2999
182.1838 0.3182
182.5785 0.3111
182.9732 0.3299
183.3680 0.2926
183.7627 0.3160
184.1575 0.3018
184.5522 0.3220
184.9469 0.2953
185.3417 0.2972
185.7364 0.3052
186.1312 0.2999
186.5259 0.3120
186.9206 0.3452
187.3154 0.3348
187.7101 0.3050
188.1049 0.3369
188.4996 0.3168
188.8943 0.3078
189.2891 0.2859
189.6838 0.1699
190.0785 0.1863
190.4965 0.2600
190.8912 0.3692
191.2860 0.2157
191.6807 0.1937
192.0755 0.2574
192.4702 0.2918
192.8649 0.1525
193.2597 0.2260
193.6544 0.2096
194.0492 0.2771
194.4439 0.1914
194.8154 0.1793
195.2102 0.2946
195.6281 0.2465
196.0229 0.2155
